Record ID,Employee ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,Absenteeism severity
121,28,27,1,6,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,1,0
122,34,27,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2,0
123,28,27,1,3,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,2,0
124,34,27,1,3,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2,0
125,34,27,1,4,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2,0
126,34,27,1,5,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2,0
127,34,27,1,6,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2,0
128,34,27,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2,0
129,34,27,1,3,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2,0
130,22,18,1,3,2,179,26,9,30,"308,593",95,0,3,0,0,0,0,56,171,19,8,1
131,11,18,1,3,2,289,36,13,33,"308,593",95,0,1,2,1,0,1,90,172,30,8,1
132,34,27,1,4,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2,0
133,27,23,1,5,2,184,42,7,27,"308,593",95,0,1,0,0,0,0,58,167,21,2,0
134,34,27,1,5,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,2,0
135,34,27,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,0,0
136,28,23,1,3,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,1,0
137,11,22,1,5,2,289,36,13,33,"308,593",95,0,1,2,1,0,1,90,172,30,3,0
138,27,23,2,6,2,184,42,7,27,"302,585",99,0,1,0,0,0,0,58,167,21,1,0
139,24,1,2,4,2,246,25,16,41,"302,585",99,0,1,0,1,0,0,67,170,23,8,1
140,3,11,2,4,2,179,51,18,38,"302,585",99,0,1,0,1,0,0,89,170,31,8,1
141,14,28,2,5,2,155,12,14,34,"302,585",99,0,1,2,1,0,0,95,196,25,2,0
142,6,23,2,5,2,189,29,13,33,"302,585",99,0,1,2,0,0,2,69,167,25,8,1
143,20,28,2,6,2,260,50,11,36,"302,585",99,0,1,4,1,0,0,65,168,23,2,0
144,11,22,2,6,2,289,36,13,33,"302,585",99,0,1,2,1,0,1,90,172,30,8,1
145,31,11,2,2,2,388,15,9,50,"302,585",99,0,1,0,0,0,0,76,178,24,8,1
146,31,1,2,3,2,388,15,9,50,"302,585",99,0,1,0,0,0,0,76,178,24,8,1
147,28,28,2,2,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,2,0
148,28,23,2,3,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,2,0
149,22,23,2,3,2,179,26,9,30,"302,585",99,0,3,0,0,0,0,56,171,19,1,0
150,27,23,2,3,2,184,42,7,27,"302,585",99,0,1,0,0,0,0,58,167,21,8,1
151,28,25,2,5,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,3,0
152,18,18,2,2,2,330,16,4,28,"302,585",99,0,2,0,0,0,0,84,182,25,8,1
153,18,23,2,3,2,330,16,4,28,"302,585",99,0,2,0,0,0,0,84,182,25,1,0
154,28,23,2,4,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,1,0
155,6,19,2,5,2,189,29,13,33,"302,585",99,0,1,2,0,0,2,69,167,25,8,1
156,19,28,3,3,2,291,50,12,32,"343,253",95,0,1,0,1,0,0,65,169,23,2,0
157,20,19,3,3,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,8,1
158,30,19,3,3,2,157,27,6,29,"343,253",95,0,1,0,1,1,0,75,185,22,3,0
159,17,17,3,3,2,179,22,17,40,"343,253",95,0,2,2,0,1,0,63,170,22,8,1
160,15,22,3,4,2,291,31,12,40,"343,253",95,0,1,1,1,0,1,73,171,25,8,1
161,20,13,3,4,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,8,1
162,22,13,3,5,2,179,26,9,30,"343,253",95,0,3,0,0,0,0,56,171,19,8,1
163,33,14,3,6,2,248,25,14,47,"343,253",95,0,1,2,0,0,1,86,165,32,3,0
164,20,13,3,6,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,40,1
165,17,11,3,2,2,179,22,17,40,"343,253",95,0,2,2,0,1,0,63,170,22,40,1
166,14,1,3,2,2,155,12,14,34,"343,253",95,0,1,2,1,0,0,95,196,25,16,1
167,20,26,3,2,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,16,1
168,14,13,3,3,2,155,12,14,34,"343,253",95,0,1,2,1,0,0,95,196,25,8,1
169,11,6,3,5,2,289,36,13,33,"343,253",95,0,1,2,1,0,1,90,172,30,8,1
170,17,8,3,5,2,179,22,17,40,"343,253",95,0,2,2,0,1,0,63,170,22,8,1
171,20,28,3,6,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,4,0
172,28,23,3,6,2,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,1,0
173,7,14,3,2,2,279,5,14,39,"343,253",95,0,1,2,1,1,0,68,168,24,8,1
174,3,13,3,3,2,179,51,18,38,"343,253",95,0,1,0,1,0,0,89,170,31,24,1
175,28,23,3,4,2,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,2,0
176,28,11,3,2,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,8,1
177,22,13,3,2,3,179,26,9,30,"343,253",95,0,3,0,0,0,0,56,171,19,1,0
178,28,11,3,3,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,8,1
179,28,11,3,4,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,16,1
180,3,13,3,4,3,179,51,18,38,"343,253",95,0,1,0,1,0,0,89,170,31,3,0
181,7,14,3,5,3,279,5,14,39,"343,253",95,0,1,2,1,1,0,68,168,24,16,1
182,28,28,3,6,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,2,0
183,33,14,3,6,3,248,25,14,47,"343,253",95,0,1,2,0,0,1,86,165,32,3,0
184,28,28,3,2,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,1,0
185,15,28,4,4,3,291,31,12,40,"326,452",96,0,1,1,1,0,1,73,171,25,1,0
186,28,23,4,4,3,225,26,9,28,"326,452",96,0,1,1,0,0,2,69,169,24,1,0
187,14,28,4,3,3,155,12,14,34,"326,452",96,0,1,2,1,0,0,95,196,25,1,0
188,24,13,4,4,3,246,25,16,41,"326,452",96,0,1,0,1,0,0,67,170,23,24,1
189,14,23,4,5,3,155,12,14,34,"326,452",96,0,1,2,1,0,0,95,196,25,1,0
190,28,28,4,6,3,225,26,9,28,"326,452",96,0,1,1,0,0,2,69,169,24,2,0
191,20,28,4,6,3,260,50,11,36,"326,452",96,0,1,4,1,0,0,65,168,23,4,0
192,3,13,4,4,3,179,51,18,38,"326,452",96,0,1,0,1,0,0,89,170,31,24,1
193,36,23,4,5,3,118,13,18,50,"326,452",96,0,1,1,1,0,0,98,178,31,1,0
194,15,23,4,6,3,291,31,12,40,"326,452",96,0,1,1,1,0,1,73,171,25,3,0
195,24,14,4,6,3,246,25,16,41,"326,452",96,0,1,0,1,0,0,67,170,23,8,1
196,15,28,4,6,3,291,31,12,40,"326,452",96,0,1,1,1,0,1,73,171,25,1,0
197,33,28,4,6,3,248,25,14,47,"326,452",96,0,1,2,0,0,1,86,165,32,8,1
198,20,19,4,6,3,260,50,11,36,"326,452",96,0,1,4,1,0,0,65,168,23,56,1
199,11,19,4,3,3,289,36,13,33,"326,452",96,0,1,2,1,0,1,90,172,30,8,1
200,14,12,4,4,3,155,12,14,34,"326,452",96,0,1,2,1,0,0,95,196,25,24,1
201,23,19,4,4,3,378,49,11,36,"326,452",96,0,1,2,0,1,4,65,174,21,8,1
202,11,13,4,5,3,289,36,13,33,"326,452",96,0,1,2,1,0,1,90,172,30,16,1
203,1,7,4,6,3,235,11,14,37,"326,452",96,0,3,1,0,0,1,88,172,29,3,0
204,2,0,4,2,3,235,29,12,48,"326,452",96,1,1,1,0,1,5,88,163,33,0,0
205,11,13,5,4,3,289,36,13,33,"378,884",92,0,1,2,1,0,1,90,172,30,8,1
206,14,28,5,5,3,155,12,14,34,"378,884",92,0,1,2,1,0,0,95,196,25,2,0
207,14,28,5,2,3,155,12,14,34,"378,884",92,0,1,2,1,0,0,95,196,25,1,0
208,3,18,5,3,3,179,51,18,38,"378,884",92,0,1,0,1,0,0,89,170,31,8,1
209,28,19,5,3,3,225,26,9,28,"378,884",92,0,1,1,0,0,2,69,169,24,8,1
210,27,7,5,4,3,184,42,7,27,"378,884",92,0,1,0,0,0,0,58,167,21,4,0
211,14,28,5,2,3,155,12,14,34,"378,884",92,0,1,2,1,0,0,95,196,25,2,0
212,3,12,5,3,3,179,51,18,38,"378,884",92,0,1,0,1,0,0,89,170,31,1,0
213,11,13,5,4,3,289,36,13,33,"378,884",92,0,1,2,1,0,1,90,172,30,24,1
214,7,0,5,4,3,279,5,14,39,"378,884",92,1,1,2,1,1,0,68,168,24,0,0
215,18,0,5,4,3,330,16,4,28,"378,884",92,1,2,0,0,0,0,84,182,25,0,0
216,23,0,5,4,3,378,49,11,36,"378,884",92,1,1,2,0,1,4,65,174,21,0,0
217,31,0,5,4,3,388,15,9,50,"378,884",92,1,1,0,0,0,0,76,178,24,0,0
218,3,11,5,3,3,179,51,18,38,"378,884",92,0,1,0,1,0,0,89,170,31,1,0
219,36,13,5,4,3,118,13,18,50,"378,884",92,0,1,1,1,0,0,98,178,31,24,1
220,10,22,5,6,3,361,52,3,28,"378,884",92,0,1,1,1,0,4,80,172,27,8,1
221,24,19,6,2,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,8,1
222,10,22,6,2,3,361,52,3,28,"377,550",94,0,1,1,1,0,4,80,172,27,8,1
223,24,10,6,3,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,24,1
224,15,23,6,5,3,291,31,12,40,"377,550",94,0,1,1,1,0,1,73,171,25,4,0
225,24,10,6,6,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,8,1
226,3,11,6,2,3,179,51,18,38,"377,550",94,0,1,0,1,0,0,89,170,31,8,1
227,14,23,6,2,3,155,12,14,34,"377,550",94,0,1,2,1,0,0,95,196,25,4,0
228,24,10,6,2,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,8,1
229,36,13,6,4,3,118,13,18,50,"377,550",94,0,1,1,1,0,0,98,178,31,8,1
230,1,13,6,6,3,235,11,14,37,"377,550",94,0,3,1,0,0,1,88,172,29,16,1
231,36,23,6,3,3,118,13,18,50,"377,550",94,0,1,1,1,0,0,98,178,31,1,0
232,36,13,6,4,3,118,13,18,50,"377,550",94,0,1,1,1,0,0,98,178,31,80,1
233,23,22,6,5,3,378,49,11,36,"377,550",94,0,1,2,0,1,4,65,174,21,8,1
234,3,11,6,6,3,179,51,18,38,"377,550",94,0,1,0,1,0,0,89,170,31,2,0
235,32,28,6,2,1,289,48,29,49,"377,550",94,0,1,0,0,0,2,108,172,36,2,0
236,28,28,6,5,1,225,26,9,28,"377,550",94,0,1,1,0,0,2,69,169,24,2,0
237,14,19,7,3,1,155,12,14,34,"275,312",98,0,1,2,1,0,0,95,196,25,16,1
238,36,1,7,4,1,118,13,18,50,"275,312",98,0,1,1,1,0,0,98,178,31,8,1
239,34,5,7,6,1,118,10,10,37,"275,312",98,0,1,0,0,0,0,83,172,28,8,1
240,34,26,7,6,1,118,10,10,37,"275,312",98,0,1,0,0,0,0,83,172,28,4,0
241,18,26,7,3,1,330,16,4,28,"275,312",98,0,2,0,0,0,0,84,182,25,8,1
242,22,18,7,5,1,179,26,9,30,"275,312",98,0,3,0,0,0,0,56,171,19,8,1
243,14,25,7,6,1,155,12,14,34,"275,312",98,0,1,2,1,0,0,95,196,25,2,0
244,18,1,7,2,1,330,16,4,28,"275,312",98,0,2,0,0,0,0,84,182,25,8,1
245,18,1,7,3,1,330,16,4,28,"275,312",98,0,2,0,0,0,0,84,182,25,8,1
246,30,25,7,2,1,157,27,6,29,"275,312",98,0,1,0,1,1,0,75,185,22,3,0
247,10,22,7,3,1,361,52,3,28,"275,312",98,0,1,1,1,0,4,80,172,27,8,1
248,11,26,7,4,1,289,36,13,33,"275,312",98,0,1,2,1,0,1,90,172,30,8,1
249,3,26,7,5,1,179,51,18,38,"275,312",98,0,1,0,1,0,0,89,170,31,8,1
250,11,19,7,2,1,289,36,13,33,"275,312",98,0,1,2,1,0,1,90,172,30,32,1
251,11,19,7,5,1,289,36,13,33,"275,312",98,0,1,2,1,0,1,90,172,30,8,1
252,20,0,7,5,1,260,50,11,36,"275,312",98,1,1,4,1,0,0,65,168,23,0,0
253,11,19,8,6,1,289,36,13,33,"265,615",94,0,1,2,1,0,1,90,172,30,8,1
254,30,19,8,6,1,157,27,6,29,"265,615",94,0,1,0,1,1,0,75,185,22,3,0
255,11,23,8,2,1,289,36,13,33,"265,615",94,0,1,2,1,0,1,90,172,30,1,0
256,9,18,8,3,1,228,14,16,58,"265,615",94,0,1,2,0,0,1,65,172,22,8,1
257,26,13,8,5,1,300,26,13,43,"265,615",94,0,1,2,1,1,1,77,175,25,1,0
258,26,14,8,5,1,300,26,13,43,"265,615",94,0,1,2,1,1,1,77,175,25,2,0
259,20,28,8,6,1,260,50,11,36,"265,615",94,0,1,4,1,0,0,65,168,23,4,0
260,11,23,8,3,1,289,36,13,33,"265,615",94,0,1,2,1,0,1,90,172,30,4,0
261,33,23,8,4,1,248,25,14,47,"265,615",94,0,1,2,0,0,1,86,165,32,1,0
262,21,11,8,5,1,268,11,8,33,"265,615",94,0,2,0,0,0,0,79,178,25,8,1
263,22,23,8,5,1,179,26,9,30,"265,615",94,0,3,0,0,0,0,56,171,19,1,0
264,36,13,8,5,1,118,13,18,50,"265,615",94,0,1,1,1,0,0,98,178,31,3,0
265,33,25,8,2,1,248,25,14,47,"265,615",94,0,1,2,0,0,1,86,165,32,2,0
266,1,23,8,3,1,235,11,14,37,"265,615",94,0,3,1,0,0,1,88,172,29,1,0
267,36,23,8,5,1,118,13,18,50,"265,615",94,0,1,1,1,0,0,98,178,31,1,0
268,1,19,8,5,1,235,11,14,37,"265,615",94,0,3,1,0,0,1,88,172,29,8,1
269,10,8,8,3,1,361,52,3,28,"265,615",94,0,1,1,1,0,4,80,172,27,8,1
270,27,6,8,4,1,184,42,7,27,"265,615",94,0,1,0,0,0,0,58,167,21,8,1
271,3,11,9,2,1,179,51,18,38,"294,217",81,0,1,0,1,0,0,89,170,31,8,1
272,3,23,9,6,1,179,51,18,38,"294,217",81,0,1,0,1,0,0,89,170,31,3,0
273,11,19,9,4,1,289,36,13,33,"294,217",81,0,1,2,1,0,1,90,172,30,24,1
274,5,0,9,5,1,235,20,13,43,"294,217",81,1,1,1,1,0,0,106,167,38,0,0
275,24,9,9,2,1,246,25,16,41,"294,217",81,0,1,0,1,0,0,67,170,23,16,1
276,15,28,9,3,1,291,31,12,40,"294,217",81,0,1,1,1,0,1,73,171,25,3,0
277,8,0,9,3,1,231,35,14,39,"294,217",81,1,1,2,1,0,2,100,170,35,0,0
278,19,0,9,3,1,291,50,12,32,"294,217",81,1,1,0,1,0,0,65,169,23,0,0
279,3,13,9,4,1,179,51,18,38,"294,217",81,0,1,0,1,0,0,89,170,31,8,1
280,24,9,9,4,1,246,25,16,41,"294,217",81,0,1,0,1,0,0,67,170,23,32,1
